high(0);last(1);created_at(2);book(3);volumne(4);vwa(5);low(6);ask(7);bid(8);ask_avg_price(9);ask_avg_amount(10);bid_avg_price(11);bid_avg_amount(12);avg_trade_sell_amount(13);avg_trade_buy_amount(14);sentiment_Twitter(15);interest_trends(16);time_stamp(17)
2619.00;2578.31;2019-03-29T03:21:24+00:00;eth_mxn;572.50586716;2550.56154415;2520.02;2577.43;2534.30;2633.3092;14.082083351;2691.3;0.03905601;2.45883255556;1.76100599547;1.0;40.1724137931;1553829971.6728323
2571.00;2570.35;2019-03-29T10:21:24+00:00;eth_mxn;492.38832848;2541.29690442;2530.00;2570.35;2533.04;2627.5828;13.1862701906;2686.0;0.1;0.987647985116;1.06039101;1.0;50.224137931;1553855052.031258
2579.99;2544.03;2019-03-29T12:20:54+00:00;eth_mxn;502.89132701;2541.09680283;2530.00;2579.98;2547.29;2637.7564;12.9486775664;2696.0;0.1;1.09728715391;1.10833776815;1.0;51.7372881356;1553862209.927769
2579.99;2544.03;2019-03-29T12:23:59+00:00;eth_mxn;502.89132701;2541.09680283;2530.00;2579.99;2548.30;2639.5552;12.9550507694;2699.0;0.31865353;1.09728715391;1.10833776815;2.0;57.4322033898;1553862441.3710074
2800.00;2619.63;2019-03-29T18:23:24+00:00;eth_mxn;1331.19787994;2588.87203507;2530.00;2619.50;2589.24;2755.496;4.0179296672;2905.0;2.14049922;1.16262591919;1.1398972619;0.0;33.4396551724;1553883885.2335615
2800.00;2600.95;2019-03-29T22:34:46+00:00;eth_mxn;1315.72385464;2595.18846669;2530.00;2619.16;2600.04;2728.8826;4.0381329538;2884.6;1.06078026;0.696902945714;1.36441129985;-2.0;39.3220338983;1553899075.458778
2800.00;2645.23;2019-03-29T23:30:13+00:00;eth_mxn;1341.49720949;2595.76133083;2530.00;2647.91;2595.05;2780.3072;5.8844735832;2948.0;9.35944246;0.494323231731;1.36129447208;0.0;44.0344827586;1553902431.8155763
2676.95;2635.14;2019-03-30T12:20:53+00:00;eth_mxn;1324.97959414;2612.19602752;2595.50;2676.92;2634.08;2764.5852;6.5667526284;2895.0;0.14561624;0.976104926607;1.5923394425;0.0;31.186440678;1553948653.6362274
2676.95;2594.04;2019-03-30T15:21:24+00:00;eth_mxn;1303.27081448;2614.61458968;2594.03;2674.43;2594.04;2743.327;7.0638475338;2857.13;0.89550182;0.743624303279;0.979534488718;0.0;42.6551724138;1553959455.7927852
2639.24;2638.87;2019-03-31T12:20:52+00:00;eth_mxn;396.61152358;2620.76435498;2600.09;2634.68;2604.81;2713.075;3.48244877;2810.0;0.00383953;4.45610810917;0.868776054423;0.0;40.1440677966;1554034998.4702766
